date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260318,900290,GRT,기타 금융업,🏆 최강,56.17,6000.0,7490.0,5440.0,LOSS,5440.0,4,ohlc_low_touch,2026-03-19,-9.33,-9.55,8680.0,10290.0,False,0,False,0,False,0,True,4,False,False,False,8.17,-15.0,2.0
20260319,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,63.75,112500.0,178400.0,95600.0,LOSS,95600.0,2,ohlc_low_touch,2026-03-23,-15.02,-15.24,190800.0,215500.0,False,0,False,0,False,0,True,2,False,False,False,16.89,-15.02,10.67
20260319,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",🏆 최강,45.64,2693000.0,2941000.0,2328000.0,WIN,2941000.0,3,ohlc_high_touch,2026-03-23,9.21,8.99,3381000.0,3689000.0,True,3,False,0,False,0,False,0,True,False,False,14.18,-10.88,11.03
20260320,226950,올릭스,자연과학 및 공학 연구개발업,🏆 최강,60.44,186900.0,217000.0,169500.0,LOSS,169500.0,1,ohlc_low_touch,2026-03-23,-9.31,-9.53,230000.0,262500.0,False,0,False,0,False,0,True,1,False,False,False,11.29,-12.84,7.28
20260320,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,59.27,120700.0,178400.0,102500.0,LOSS,102500.0,1,ohlc_low_touch,2026-03-23,-15.08,-15.3,199300.0,215500.0,False,0,False,0,False,0,True,1,False,False,False,8.95,-20.8,3.15
20260323,278470,에이피알,기타 화학제품 제조업,🏆 최강,76.8,324500.0,377000.0,290500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,412000.0,422500.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260323,298020,효성티앤씨,화학섬유 제조업,🏆 최강,66.38,375500.0,440000.0,318500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,505000.0,583000.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260323,174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,🏆 최강,64.23,70700.0,95800.0,60000.0,LOSS,60000.0,5,ohlc_low_touch,2026-03-25,-15.13,-15.35,101200.0,111800.0,False,0,False,0,False,0,True,5,False,False,False,12.02,-30.2,7.07
20260324,298020,효성티앤씨,화학섬유 제조업,🏆 최강,44.14,392000.0,440000.0,333000.0,OPEN,409000.0,10,ohlc_horizon_close,2026-03-26,4.34,4.12,511000.0,583000.0,False,0,False,0,False,0,False,0,False,False,False,6.51,-7.4,4.34
20260326,098070,한텍,일반 목적용 기계 제조업,🏆 최강,66.71,45900.0,62200.0,39000.0,OPEN,45250.0,10,ohlc_horizon_close,2026-03-27,-1.42,-1.64,71500.0,83200.0,False,0,False,0,False,0,False,0,False,False,False,13.51,-8.93,7.52
