signal_date,code,name,label,action,skip_reason,skip_reason_detail,fill_date,open_positions_count,held_codes
20260424,044490,태웅,🏆 최강,EXECUTE,EXECUTED,,2026-04-28,0,
20260427,044490,태웅,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-04-28,1,044490
20260428,327260,RF머트리얼즈,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-29,1,044490
20260429,078930,GS,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-04,1,044490
20260430,078930,GS,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-04,1,044490
20260501,078930,GS,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-04,1,044490
20260504,011170,롯데케미칼,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-06,1,044490
20260505,011170,롯데케미칼,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-06,1,044490
20260506,042510,라온시큐어,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-08,1,044490
20260507,322310,오로스테크놀로지,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-08,1,044490
20260508,017550,수산세보틱스,🏆 최강,EXECUTE,EXECUTED,,2026-05-11,0,
20260511,016360,삼성증권,🏆 최강,EXECUTE,EXECUTED,,2026-05-13,0,
20260512,417500,제이아이테크,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-13,1,016360
20260513,087010,펩트론,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-14,1,016360
20260514,168360,펨트론,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-15,1,016360
20260515,052900,KX하이텍,🏆 최강,EXECUTE,EXECUTED,,2026-05-18,0,
20260518,033240,자화전자,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-19,1,052900
20260519,066575,LG전자우,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-20,1,052900
20260522,064400,LG씨엔에스,🏆 최강,EXECUTE,EXECUTED,,2026-05-27,0,
20260525,064400,LG씨엔에스,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-05-27,1,064400
20260526,000815,삼성화재우,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-27,1,064400
20260527,195870,해성디에스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-28,1,064400
20260528,417840,저스템,🏆 최강,EXECUTE,EXECUTED,,2026-06-01,0,
20260529,440110,파두,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-06-02,1,417840
20260601,440110,파두,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-06-02,1,417840
20260604,007660,이수페타시스,🏆 최강,EXECUTE,EXECUTED,,2026-06-05,0,
20260602,420770,기가비스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-06-08,1,007660
20260603,420770,기가비스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-06-08,1,007660
20260605,000660,SK하이닉스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-06-08,1,007660
20260610,009155,삼성전기우,🏆 최강,EXECUTE,EXECUTED,,2026-06-11,0,
