date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260408,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,5,ohlc_high_touch,2026-04-09,23.92,23.7,6980.0,0.0,True,5,True,6,False,0,False,0,True,True,False,64.54,-3.81,46.19
20260409,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,🏆 최강,61.07,414500.0,491000.0,376500.0,WIN,491500.0,9,ohlc_gap_up,2026-04-10,18.58,18.36,527000.0,0.0,True,9,False,0,False,0,False,0,True,False,False,18.94,-3.74,16.89
20260410,175330,JB금융지주,기타 금융업,🏆 최강,72.85,30950.0,38500.0,27750.0,OPEN,28700.0,10,ohlc_horizon_close,2026-04-13,-7.27,-7.49,42750.0,48050.0,False,0,False,0,False,0,False,0,False,False,False,4.04,-7.43,1.13
20260413,175330,JB금융지주,기타 금융업,🏆 최강,60.06,31150.0,38500.0,27750.0,LOSS,27750.0,10,ohlc_low_touch,2026-04-14,-10.91,-11.13,42750.0,48050.0,False,0,False,0,False,0,True,10,False,False,False,3.37,-12.04,0.48
20260414,139130,iM금융지주,기타 금융업,🏆 최강,65.66,18290.0,22000.0,16900.0,OPEN,19280.0,10,ohlc_horizon_close,2026-04-15,5.41,5.19,24250.0,27100.0,False,0,False,0,False,0,False,0,False,False,False,6.67,-0.33,5.41
20260415,252990,샘씨엔에스,전자부품 제조업,🏆 최강,66.53,10650.0,13010.0,9260.0,WIN,13010.0,3,ohlc_high_touch,2026-04-16,22.16,21.94,14330.0,16500.0,True,3,True,10,False,0,False,0,True,True,False,40.09,-2.25,31.46
20260416,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,76.39,99500.0,113400.0,92000.0,OPEN,98700.0,10,ohlc_horizon_close,2026-04-17,-0.8,-1.02,122000.0,0.0,False,0,False,0,False,0,False,0,False,False,False,4.62,-5.03,2.71
20260417,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,61.48,129400.0,149000.0,118000.0,WIN,149000.0,8,ohlc_high_touch,2026-04-20,15.15,14.93,164000.0,0.0,True,8,False,0,False,0,False,0,True,False,False,20.09,-1.7,15.77
20260420,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,60.62,102200.0,116500.0,94600.0,LOSS,94600.0,4,ohlc_low_touch,2026-04-21,-7.44,-7.66,125000.0,0.0,False,0,False,0,False,0,True,4,False,False,False,0.78,-7.53,-2.05
20260421,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,66.45,308000.0,371500.0,261500.0,OPEN,295000.0,10,ohlc_horizon_close,2026-04-22,-4.22,-4.44,395500.0,430500.0,False,0,False,0,False,0,False,0,False,False,False,5.84,-10.88,2.6
20260422,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,62.33,298000.0,371500.0,253000.0,OPEN,284500.0,10,ohlc_horizon_close,2026-04-23,-4.53,-4.75,382000.0,429000.0,False,0,False,0,False,0,False,0,False,False,False,9.4,-7.89,6.04
20260423,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,83.63,5670.0,6580.0,4815.0,WIN,6700.0,6,ohlc_gap_up,2026-04-24,18.17,17.95,9800.0,11480.0,True,6,False,0,False,0,False,0,True,False,False,53.26,-5.64,41.09
20260424,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.7,53300.0,67500.0,45300.0,LOSS,45300.0,9,ohlc_low_touch,2026-04-28,-15.01,-15.23,78400.0,0.0,False,0,False,0,False,0,True,9,False,False,False,15.01,-16.79,10.32
20260427,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.97,54500.0,67500.0,46400.0,LOSS,46400.0,9,ohlc_low_touch,2026-04-28,-14.86,-15.08,78400.0,0.0,False,0,False,0,False,0,True,9,False,False,False,12.48,-18.62,7.89
20260428,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,60.5,89100.0,116900.0,75700.0,WIN,116900.0,5,ohlc_high_touch,2026-04-29,31.2,30.98,133500.0,140200.0,True,5,False,0,False,0,False,0,True,False,False,42.09,-7.95,33.22
20260429,078930,GS,기타 금융업,🏆 최강,79.21,80900.0,91600.0,74700.0,LOSS,74700.0,6,ohlc_low_touch,2026-05-04,-7.66,-7.88,95900.0,0.0,False,0,False,0,False,0,True,6,False,False,False,7.17,-15.7,0.0
20260430,078930,GS,기타 금융업,🏆 최강,77.35,81900.0,92500.0,76000.0,LOSS,76000.0,2,ohlc_low_touch,2026-05-04,-7.2,-7.42,98400.0,0.0,False,0,False,0,False,0,True,2,False,False,False,5.86,-16.73,-1.22
20260501,078930,GS,기타 금융업,🏆 최강,77.29,81900.0,92500.0,76000.0,LOSS,76000.0,2,ohlc_low_touch,2026-05-04,-7.2,-7.42,98400.0,0.0,False,0,False,0,False,0,True,2,False,False,False,5.86,-16.73,-1.22
20260504,011170,롯데케미칼,기초 화학물질 제조업,🏆 최강,81.55,106200.0,119500.0,93500.0,LOSS,93500.0,5,ohlc_low_touch,2026-05-06,-11.96,-12.18,128500.0,133300.0,False,0,False,0,False,0,True,5,False,False,False,2.64,-25.14,0.28
20260505,011170,롯데케미칼,기초 화학물질 제조업,🏆 최강,81.26,106200.0,119500.0,93500.0,LOSS,93500.0,5,ohlc_low_touch,2026-05-06,-11.96,-12.18,128500.0,133300.0,False,0,False,0,False,0,True,5,False,False,False,2.64,-25.14,0.28
20260506,042510,라온시큐어,소프트웨어 개발 및 공급업,🏆 최강,78.08,13370.0,16960.0,11360.0,LOSS,11360.0,6,ohlc_low_touch,2026-05-08,-15.03,-15.25,19790.0,22850.0,False,0,False,0,False,0,True,6,False,False,False,5.16,-19.22,-1.72
20260507,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,77.11,39500.0,52000.0,33550.0,LOSS,33550.0,3,ohlc_low_touch,2026-05-08,-15.06,-15.28,59800.0,69800.0,False,0,False,0,False,0,True,3,False,False,False,-1.01,-36.46,-10.25
20260508,017550,수산세보틱스,특수 목적용 기계 제조업,🏆 최강,51.21,3600.0,4045.0,3060.0,LOSS,3060.0,2,ohlc_low_touch,2026-05-11,-15.0,-15.22,4800.0,5510.0,False,0,False,0,False,0,True,2,False,False,False,-3.75,-30.14,-10.14
20260511,016360,삼성증권,금융 지원 서비스업,🏆 최강,78.11,135200.0,163000.0,121600.0,LOSS,121600.0,3,ohlc_low_touch,2026-05-13,-10.06,-10.28,183800.0,210500.0,False,0,False,0,False,0,True,3,False,False,False,0.3,-19.01,-3.85
20260512,417500,제이아이테크,기타 화학제품 제조업,🏆 최강,79.58,4885.0,5450.0,4420.0,WIN,5450.0,2,ohlc_high_touch,2026-05-13,11.57,11.35,6160.0,6920.0,True,2,False,0,False,0,False,0,True,False,False,13.82,-7.88,11.16
20260513,087010,펩트론,기초 의약물질 제조업,🏆 최강,64.8,266500.0,305000.0,245000.0,LOSS,245000.0,3,ohlc_low_touch,2026-05-14,-8.07,-8.29,359000.0,392500.0,True,10,False,0,False,0,True,3,False,False,False,24.58,-12.76,20.08
20260514,168360,펨트론,특수 목적용 기계 제조업,🏆 최강,61.71,25700.0,29800.0,21800.0,LOSS,21800.0,2,ohlc_low_touch,2026-05-15,-15.18,-15.4,34700.0,0.0,False,0,False,0,False,0,True,2,False,False,False,-0.78,-26.07,-10.12
20260515,052900,KX하이텍,플라스틱제품 제조업,🏆 최강,75.16,1516.0,1870.0,1288.0,WIN,1870.0,4,ohlc_high_touch,2026-05-18,23.35,23.13,2100.0,2405.0,True,4,True,4,True,6,False,0,True,True,True,60.29,-7.26,35.88
20260518,033240,자화전자,전자부품 제조업,🏆 최강,69.47,51500.0,60000.0,43750.0,LOSS,43750.0,2,ohlc_low_touch,2026-05-19,-15.05,-15.27,66700.0,68400.0,False,0,False,0,False,0,True,2,False,False,False,0.0,-30.87,-3.69
20260519,066575,LG전자우,기타,🏆 최강,71.55,72100.0,94100.0,61400.0,WIN,94100.0,7,ohlc_high_touch,2026-05-20,30.51,30.29,106900.0,123200.0,True,7,True,8,True,8,False,0,True,True,True,91.96,-7.21,72.54
20260520,066570,LG전자,통신 및 방송 장비 제조업,🏆 최강,74.72,181000.0,266500.0,153800.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,311000.0,367500.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260522,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,71.89,82000.0,99400.0,70400.0,WIN,99400.0,3,ohlc_high_touch,2026-05-27,21.22,21.0,107600.0,111400.0,True,3,True,3,True,3,False,0,True,True,True,86.95,-3.17,75.24
20260525,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,72.15,82000.0,99400.0,70400.0,WIN,99400.0,3,ohlc_high_touch,2026-05-27,21.22,21.0,107600.0,111400.0,True,3,True,3,True,3,False,0,True,True,True,86.95,-3.17,75.24
20260526,000815,삼성화재우,기타,🏆 최강,71.22,392000.0,425000.0,372500.0,LOSS,372500.0,2,ohlc_low_touch,2026-05-27,-4.97,-5.19,472500.0,0.0,False,0,False,0,False,0,True,2,False,False,False,7.02,-7.78,4.97
20260527,195870,해성디에스,전자부품 제조업,🏆 최강,81.19,92300.0,108500.0,78400.0,LOSS,78400.0,4,ohlc_low_touch,2026-05-28,-15.06,-15.28,125300.0,147200.0,False,0,False,0,False,0,True,4,False,False,False,3.58,-29.47,-1.84
20260528,417840,저스템,특수 목적용 기계 제조업,🏆 최강,78.37,17900.0,22250.0,15210.0,LOSS,15210.0,2,ohlc_low_touch,2026-06-01,-15.03,-15.25,26200.0,26900.0,False,0,False,0,False,0,True,2,False,False,False,6.15,-28.49,-2.23
20260529,440110,파두,반도체 제조업,🏆 최강,73.87,112100.0,129400.0,95200.0,LOSS,95200.0,6,ohlc_low_touch,2026-06-02,-15.08,-15.3,151100.0,181200.0,False,0,False,0,False,0,True,6,False,False,False,5.0,-20.16,3.48
20260601,440110,파두,반도체 제조업,🏆 최강,80.68,111100.0,129400.0,94400.0,LOSS,94400.0,7,ohlc_low_touch,2026-06-02,-15.03,-15.25,151300.0,181200.0,False,0,False,0,False,0,True,7,False,False,False,5.94,-19.44,4.41
20260602,420770,기가비스,특수 목적용 기계 제조업,🏆 최강,77.33,125400.0,158000.0,106500.0,LOSS,106500.0,1,ohlc_low_touch,2026-06-08,-15.07,-15.29,184100.0,217500.0,False,0,False,0,False,0,True,1,False,False,False,21.45,-17.46,17.7
20260603,420770,기가비스,특수 목적용 기계 제조업,🏆 최강,77.3,125400.0,158000.0,106500.0,LOSS,106500.0,1,ohlc_low_touch,2026-06-08,-15.07,-15.29,184100.0,217500.0,False,0,False,0,False,0,True,1,False,False,False,21.45,-17.46,17.7
20260604,007660,이수페타시스,전자부품 제조업,🏆 최강,61.67,133700.0,154300.0,113600.0,LOSS,103800.0,2,ohlc_gap_down,2026-06-05,-22.36,-22.58,164400.0,176400.0,False,0,False,0,False,0,True,2,False,False,False,-1.42,-22.59,-7.85
20260605,000660,SK하이닉스,반도체 제조업,🏆 최강,61.11,2070000.0,2407000.0,1773000.0,OPEN,2150000.0,5,ohlc_horizon_close,2026-06-08,3.86,3.64,2477000.0,2591000.0,False,0,False,0,False,0,False,0,False,False,False,11.3,-10.39,7.0
20260608,170920,엘티씨,기초 화학물질 제조업,🏆 최강,68.35,45200.0,52100.0,38400.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,56200.0,64400.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260610,009155,삼성전기우,기타,🏆 최강,56.29,586000.0,800000.0,498000.0,OPEN,558000.0,2,ohlc_horizon_close,2026-06-11,-4.78,-5.0,904000.0,976000.0,False,0,False,0,False,0,False,0,False,False,False,8.87,-7.68,-2.73
20260611,353200,대덕전자,전자부품 제조업,🏆 최강,50.75,154400.0,198000.0,131200.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,223500.0,235000.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
