date,n_picks,n_filled,codes,names,labels,n_wins,n_losses,n_not_filled,portfolio_ret_pct,portfolio_net_pct
20260427,3,3,"044490,294870,322310","태웅,IPARK현대산업개발,오로스테크놀로지","🏆 최강,🏆 최강,🏆 최강",1,1,0,-1.65,-1.87
20260428,1,1,327260,RF머트리얼즈,🏆 최강,1,0,0,31.2,30.98
20260429,2,2,"078930,017960","GS,한국카본","🏆 최강,🏆 최강",0,2,0,-6.66,-6.88
20260430,3,3,"078930,001780,061970","GS,알루코,LB세미콘","🏆 최강,🏆 최강,🏆 최강",0,1,0,-7.52,-7.74
20260501,3,3,"078930,001780,061970","GS,알루코,LB세미콘","🏆 최강,🏆 최강,🏆 최강",0,1,0,-7.52,-7.74
20260504,3,3,"011170,419530,052710","롯데케미칼,SAMG엔터,아모텍","🏆 최강,🏆 최강,🏆 최강",0,3,0,-12.5,-12.72
20260505,3,3,"011170,419530,052710","롯데케미칼,SAMG엔터,아모텍","🏆 최강,🏆 최강,🏆 최강",0,3,0,-12.5,-12.72
20260506,3,3,"042510,011170,078930","라온시큐어,롯데케미칼,GS","🏆 최강,🏆 최강,🏆 최강",0,3,0,-12.05,-12.27
20260507,3,3,"322310,272110,328130","오로스테크놀로지,케이엔제이,루닛","🏆 최강,🏆 최강,🏆 최강",0,3,0,-12.22,-12.44
20260508,2,1,"017550,329180","수산세보틱스,HD현대중공업","🏆 최강,🏆 최강",0,1,1,-7.5,-7.61
20260511,3,3,"016360,078930,028050","삼성증권,GS,삼성E&A","🏆 최강,🏆 최강,🏆 최강",0,3,0,-10.16,-10.38
20260512,3,3,"417500,028050,069540","제이아이테크,삼성E&A,빛과전자","🏆 최강,🏆 최강,🏆 최강",1,2,0,-3.9,-4.12
20260513,2,2,"087010,267260","펩트론,HD현대일렉트릭","🏆 최강,🏆 최강",0,2,0,-8.06,-8.28
20260514,2,2,"168360,082920","펨트론,비츠로셀","🏆 최강,🏆 최강",0,2,0,-15.13,-15.36
20260515,3,3,"052900,396270,108490","KX하이텍,넥스트칩,로보티즈","🏆 최강,🏆 최강,🏆 최강",1,2,0,-2.29,-2.51
20260518,3,3,"033240,396270,004020","자화전자,넥스트칩,현대제철","🏆 최강,🏆 최강,🏆 최강",0,3,0,-13.06,-13.28
20260519,3,3,"066575,009150,012330","LG전자우,삼성전기,현대모비스","🏆 최강,🏆 최강,🏆 최강",3,0,0,25.45,25.23
20260520,3,0,"066570,004170,012330","LG전자,신세계,현대모비스","🏆 최강,🏆 최강,🏆 최강",0,0,3,0.0,0.0
20260522,3,3,"064400,090360,321370","LG씨엔에스,로보스타,센서뷰","🏆 최강,🏆 최강,🏆 최강",2,1,0,16.42,16.2
20260525,3,3,"064400,090360,321370","LG씨엔에스,로보스타,센서뷰","🏆 최강,🏆 최강,🏆 최강",2,1,0,16.42,16.2
20260526,3,2,"000815,187870,064400","삼성화재우,디바이스,LG씨엔에스","🏆 최강,🏆 최강,🏆 최강",1,1,1,4.98,4.83
20260527,3,3,"195870,053610,203650","해성디에스,프로텍,드림시큐리티","🏆 최강,🏆 최강,🏆 최강",0,3,0,-15.06,-15.28
20260528,3,3,"417840,195870,440110","저스템,해성디에스,파두","🏆 최강,🏆 최강,🏆 최강",0,3,0,-15.04,-15.26
20260529,3,3,"440110,195870,042520","파두,해성디에스,한스바이오메드","🏆 최강,🏆 최강,🏆 최강",0,3,0,-15.08,-15.3
20260601,3,3,"440110,095610,356860","파두,테스,티엘비","🏆 최강,🏆 최강,🏆 최강",0,2,0,-9.62,-9.84
20260602,1,1,420770,기가비스,🏆 최강,0,1,0,-15.07,-15.29
20260603,1,1,420770,기가비스,🏆 최강,0,1,0,-15.07,-15.29
20260604,1,1,007660,이수페타시스,🏆 최강,0,1,0,-22.36,-22.58
20260605,3,3,"000660,005935,031330","SK하이닉스,삼성전자우,에스에이엠티","🏆 최강,🏆 최강,🏆 최강",0,1,0,-5.39,-5.61
20260608,3,2,"170920,011070,181710","엘티씨,LG이노텍,NHN","🏆 최강,🏆 최강,🏆 최강",0,1,1,-6.8,-6.94
20260610,1,1,009155,삼성전기우,🏆 최강,0,0,0,-4.78,-5.0
20260611,2,0,"353200,402340","대덕전자,SK스퀘어","🏆 최강,🏆 최강",0,0,2,0.0,0.0
