date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-04-21,ENTER,017800,현대엘리베이터,0,0,0,823566.0,8459154.0,9282720.0,3
2026-04-23,EXIT,373220,LG에너지솔루션,18.58,18.36,492499.0,3998522.0,5776697.0,9775219.0,2
2026-04-23,ENTER,310210,보로노이,0,0,0,740116.0,9035104.0,9775219.0,3
2026-04-27,EXIT,175330,JB금융지주,-7.27,-7.49,-200916.0,3221657.0,6352647.0,9574303.0,2
2026-04-27,EXIT,017800,현대엘리베이터,-7.44,-7.66,-237019.0,6078878.0,3258406.0,9337285.0,1
2026-04-27,ENTER,327260,RF머트리얼즈,0,0,0,2966450.0,6370835.0,9337285.0,2
2026-04-28,ENTER,044490,태웅,0,0,0,0.0,9337285.0,9337285.0,3
2026-05-06,EXIT,327260,RF머트리얼즈,28.6,28.38,883307.0,3995735.0,6224856.0,10220592.0,2
2026-05-06,ENTER,011170,롯데케미칼,0,0,0,588871.0,9631720.0,10220592.0,3
2026-05-07,EXIT,310210,보로노이,-4.53,-4.75,-154774.0,3692504.0,6373314.0,10065817.0,2
2026-05-07,ENTER,052710,아모텍,0,0,0,337231.0,9728586.0,10065817.0,3
2026-05-11,EXIT,044490,태웅,-15.01,-15.23,-451790.0,2851891.0,6762136.0,9614027.0,2
2026-05-11,ENTER,017550,수산세보틱스,0,0,0,0.0,9614027.0,9614027.0,3
2026-05-12,EXIT,052710,아모텍,-15.16,-15.38,-516041.0,2839232.0,6258755.0,9097986.0,2
2026-05-12,ENTER,078930,GS,0,0,0,0.0,9097986.0,9097986.0,3
2026-05-13,EXIT,011170,롯데케미칼,-11.96,-12.18,-414956.0,2991908.0,5691122.0,8683030.0,2
2026-05-13,EXIT,017550,수산세보틱스,-15.0,-15.22,-434058.0,5409741.0,2839232.0,8248972.0,1
2026-05-13,ENTER,016360,삼성증권,0,0,0,2660083.0,5588889.0,8248972.0,2
2026-05-13,ENTER,417500,제이아이테크,0,0,0,0.0,8248972.0,8248972.0,3
2026-05-14,EXIT,078930,GS,-7.62,-7.84,-222596.0,2616636.0,5409741.0,8026377.0,2
2026-05-14,ENTER,087010,펩트론,0,0,0,0.0,8026377.0,8026377.0,3
2026-05-15,EXIT,417500,제이아이테크,11.57,11.35,301919.0,2962003.0,5366293.0,8328296.0,2
2026-05-15,ENTER,267260,HD현대일렉트릭,0,0,0,185904.0,8142392.0,8328296.0,3
2026-05-18,EXIT,016360,삼성증권,-10.06,-10.28,-282665.0,2652897.0,5392735.0,8045631.0,2
2026-05-18,EXIT,267260,HD현대일렉트릭,-8.05,-8.27,-229583.0,5199412.0,2616636.0,7816048.0,1
2026-05-18,ENTER,052900,KX하이텍,0,0,0,2594063.0,5221985.0,7816048.0,2
2026-05-18,ENTER,396270,넥스트칩,0,0,0,0.0,7816048.0,7816048.0,3
2026-05-19,EXIT,087010,펩트론,-8.07,-8.29,-216919.0,2399717.0,5199412.0,7599129.0,2
2026-05-19,ENTER,033240,자화전자,0,0,0,0.0,7599129.0,7599129.0,3
2026-05-20,EXIT,396270,넥스트칩,-15.15,-15.37,-398707.0,2195355.0,5005066.0,7200421.0,2
2026-05-20,ENTER,066575,LG전자우,0,0,0,0.0,7200421.0,7200421.0,3
2026-05-22,EXIT,052900,KX하이텍,23.35,23.13,602617.0,3207967.0,4595072.0,7803039.0,2
2026-05-21,EXIT,033240,자화전자,-15.05,-15.27,-366437.0,5241247.0,2195355.0,7436602.0,1
2026-05-26,ENTER,090360,로보스타,0,0,0,2762379.0,4674223.0,7436602.0,2
2026-05-26,ENTER,321370,센서뷰,0,0,0,283512.0,7153090.0,7436602.0,3
2026-05-29,EXIT,066575,LG전자우,30.51,30.29,664973.0,3143840.0,4957735.0,8101575.0,2
2026-06-01,ENTER,417840,저스템,0,0,0,443315.0,7658260.0,8101575.0,3
2026-06-02,EXIT,090360,로보스타,43.09,42.87,1062690.0,3984873.0,5179392.0,9164266.0,2
2026-06-02,EXIT,321370,센서뷰,-15.06,-15.28,-378771.0,6084970.0,2700525.0,8785495.0,1
2026-06-02,ENTER,440110,파두,0,0,0,3156471.0,5629023.0,8785495.0,2
2026-06-02,ENTER,095610,테스,0,0,0,227973.0,8557521.0,8785495.0,3
2026-06-03,EXIT,417840,저스템,-15.03,-15.25,-411830.0,2516668.0,5856996.0,8373665.0,2
2026-06-03,EXIT,095610,테스,-8.09,-8.31,-243358.0,5201808.0,2928498.0,8130306.0,1
2026-06-05,ENTER,007660,이수페타시스,0,0,0,2491706.0,5638600.0,8130306.0,2
2026-06-08,ENTER,420770,기가비스,0,0,0,0.0,8130306.0,8130306.0,3
2026-06-09,EXIT,007660,이수페타시스,-22.36,-22.58,-611941.0,2098161.0,5420204.0,7518365.0,2
2026-06-09,EXIT,420770,기가비스,-15.07,-15.29,-380982.0,4208885.0,2928498.0,7137383.0,1
2026-06-10,ENTER,011070,LG이노텍,0,0,0,1829757.0,5307626.0,7137383.0,2
2026-06-10,ENTER,181710,NHN,0,0,0,0.0,7137383.0,7137383.0,3
2026-06-11,EXIT,440110,파두,-15.08,-15.3,-448060.0,2480438.0,4208885.0,6689323.0,2
2026-06-11,ENTER,009155,삼성전기우,0,0,0,250664.0,6438660.0,6689323.0,3
2026-06-15,EXIT_FINAL,011070,LG이노텍,-5.39,-5.61,-133469.0,2496322.0,4059532.0,6555854.0,2
2026-06-12,EXIT_FINAL,181710,NHN,-15.0,-15.22,-278489.0,4047591.0,2229774.0,6277365.0,1
2026-06-15,EXIT_FINAL,009155,삼성전기우,-4.78,-5.0,-111489.0,6165876.0,0,6165876.0,0
