date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct
20260414,139130,iM금융지주,기타 금융업,🏆 최강,65.66,18290.0,22000.0,16900.0,OPEN,19280.0,10,ohlc_horizon_close,2026-04-15,5.41,5.19
20260414,025820,이구산업,1차 비철금속 제조업,🏆 최강,59.97,5500.0,6550.0,5020.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260414,001120,LX인터내셔널,상품 중개업,🏆 최강,50.35,48950.0,54500.0,43800.0,WIN,54500.0,8,ohlc_gap_up,2026-04-15,11.34,11.12
20260415,252990,샘씨엔에스,전자부품 제조업,🏆 최강,66.53,10650.0,13010.0,9260.0,WIN,13010.0,3,ohlc_high_touch,2026-04-16,22.16,21.94
20260415,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업",🏆 최강,54.01,2215.0,2830.0,1882.0,OPEN,2095.0,10,ohlc_horizon_close,2026-04-16,-5.42,-5.64
20260415,036200,유니셈,특수 목적용 기계 제조업,🏆 최강,51.76,10870.0,12810.0,9780.0,OPEN,12150.0,8,ohlc_horizon_close,2026-04-16,11.78,11.56
20260416,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,76.39,99500.0,113400.0,92000.0,OPEN,98700.0,10,ohlc_horizon_close,2026-04-17,-0.8,-1.02
20260416,368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",🏆 최강,62.63,23550.0,29950.0,20000.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260416,012330,현대모비스,자동차 신품 부품 제조업,🏆 최강,60.71,427000.0,531000.0,390000.0,OPEN,425000.0,10,ohlc_horizon_close,2026-04-17,-0.47,-0.69
20260417,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,61.48,129400.0,149000.0,118000.0,WIN,149000.0,8,ohlc_high_touch,2026-04-20,15.15,14.93
20260417,129920,대성하이텍,특수 목적용 기계 제조업,🏆 최강,60.0,12560.0,15350.0,10670.0,LOSS,10670.0,8,ohlc_low_touch,2026-04-20,-15.05,-15.27
20260417,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",🏆 최강,57.7,1423000.0,1570000.0,1367000.0,OPEN,1417000.0,9,ohlc_horizon_close,2026-04-20,-0.42,-0.64
20260420,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,60.62,102200.0,116500.0,94600.0,LOSS,94600.0,4,ohlc_low_touch,2026-04-21,-7.44,-7.66
20260420,451760,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,60.28,20400.0,23950.0,17340.0,LOSS,0.0,8,ohlc_gap_down,2026-04-21,-100.0,-100.22
20260420,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,57.5,5060.0,5980.0,4300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260421,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,66.45,308000.0,371500.0,261500.0,OPEN,284000.0,7,ohlc_horizon_close,2026-04-22,-7.79,-8.01
20260421,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,55.99,131500.0,150600.0,120500.0,OPEN,146200.0,5,ohlc_horizon_close,2026-04-24,11.18,10.96
20260422,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,62.33,298000.0,371500.0,253000.0,OPEN,284000.0,6,ohlc_horizon_close,2026-04-23,-4.7,-4.92
20260423,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,83.63,5670.0,6580.0,4815.0,OPEN,6340.0,5,ohlc_horizon_close,2026-04-24,11.82,11.6
20260423,011930,신성이엔지,반도체 제조업,🏆 최강,67.48,3995.0,4970.0,3395.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260423,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,58.14,311500.0,371500.0,264500.0,OPEN,284000.0,5,ohlc_horizon_close,2026-04-24,-8.83,-9.05
20260424,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.7,53300.0,67500.0,45300.0,OPEN,53000.0,3,ohlc_horizon_close,2026-04-28,-0.56,-0.78
20260424,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,65.0,33350.0,38200.0,29750.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260424,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,59.3,90900.0,116900.0,77200.0,LOSS,0.0,3,ohlc_gap_down,2026-04-28,-100.0,-100.22
20260427,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.97,54500.0,67500.0,46400.0,OPEN,53000.0,3,ohlc_horizon_close,2026-04-28,-2.75,-2.97
20260427,294870,IPARK현대산업개발,건물 건설업,🏆 최강,66.53,22950.0,25050.0,21250.0,OPEN,22950.0,3,ohlc_horizon_close,2026-04-28,0.0,-0.22
20260427,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,64.97,34350.0,38200.0,31150.0,LOSS,0.0,3,ohlc_gap_down,2026-04-28,-100.0,-100.22
20260428,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,60.5,89100.0,116900.0,75700.0,LOSS,0.0,2,ohlc_gap_down,2026-04-29,-100.0,-100.22
20260429,078930,GS,기타 금융업,🏆 최강,79.21,80900.0,91600.0,74700.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260429,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업",🏆 최강,59.46,50400.0,54100.0,47550.0,OPEN,49550.0,1,ohlc_horizon_close,2026-04-30,-1.69,-1.91
